agent:representation,agency,intelligence,actor,proxy,undercover,operative,secret,surveillance,handler
chef:cooking,culinary_arts,restaurant,menu_planning,food_preparation,culinary_school,chefs_uniform,cuisine,culinary_techniques,michelin_star_restaurant
cultivated_variety:hybrid,cultivar,agriculture,breeding,horticulture,genetic_variation,crop_improvement,plant_selection,seedling,gardening
governor:state_executive,chief_executive,gubernatorial,executive_branch,state_government,head_of_state,gubernatorial_election,state_sovereignty,lieutenant_governor,governors_mansion
cardinal:roman_catholic_church,college_of_cardinals,cardinal_electors,cardinalatial_title,cardinal_virtues,consistory,apostolic_see,cardinalate,ecclesiastical_province,cardinal_protector
solar_eclipse:sun,moon,umbra,penumbra,totality,corona,astronomical_phenomenon,celestial_event,solar_system,solar_radiation
table_tennis_player:ping_pong,paddle,table_tennis_ball,forehand,backhand,serve,rally,spin,footwork,tournament
model:fashion,photography,runway,catwalk,agency,portfolio,casting,designer,supermodel,posing
film_festival:film_screenings,red_carpet,jury_members,international_films,awards_ceremony,filmmakers,industry_networking,jury_deliberation,film_premieres,film_market
screen_writer:script,dialogue,screenplay,plot,character_development,film_industry,story_structure,final_draft,narrative,film_adaptation
brewery:craft_beer,microbrewery,hops,malt,fermentation,brewing_process,beer_styles,beer_tasting,hoppy,beer_advocate
squash_player:racket,court,competition,tournament,professional,ranking,fitness,agility,technique,strategy
australian_rules_football_player:australian_football_league_afl_mark,kick,handball_australian_rules_football_club_brownlow_medal_premiership_goal,behind_tackle,bump_center,fullforward,fullback_draft,rookie_umpire,referee
magazine:editorial,feature_article,lifestyle,fashion,entertainment,celebrity_news,health_and_wellness,travel,home_decor,cooking_and_recipes
golf_course:fairway,putting_green,tee_box,bunker,rough,clubhouse,golf_cart,golf_shop,driving_range,par_3_course
womens_tennis_association_tournament:grand_slam,singles,doubles,wta_tour,seedings,qualifying_rounds,clay_court,hard_court,grass_court,prize_money
law_firm:attorney,legal_practice,litigation,corporate_law,intellectual_property,legal_services,legal_advice,legal_representation,attorneyclient_privilege,legal_professionals
comedian:standup,humor,satire,jokes,entertainment,laughter,performance,comedy_club,improv,sketch_comedy
mountain_pass:elevation,switchbacks,snowdrifts,trade_routes,transportation,military_tactics,hikers,weather_conditions,road_construction,mountain_biking
winery:vineyard,grape,fermentation,barrel_aging,tasting_room,wine_production,sommelier,viticulture,terroir,cellar_tour
green_alga:chlorophyta,chloroplast,photosynthesis,phytoplankton,chlorophyll,unicellular,colonial,macroalgae,planktonic,eukaryotic
station:railway_station,bus_station,metro_station,train_station,airport_terminal,ferry_terminal,space_station,gas_station,fire_station,police_station
railway_station:ticket_office,platform,train_schedule,ticket_machines,waiting_room,train_tracks,departure_board,ticket_validation,platform_ticket,railway_police
playboy_playmate:centerfold,nude_modeling,glamour,playboy_mansion,sex_symbol,celebrity,magazine_cover,playboy_bunny,pinup,beauty_pageant
galaxy:spiral_galaxy,elliptical_galaxy,barred_spiral_galaxy,galaxy_cluster,galactic_center,galactic_halo,galactic_disk,galactic_bulge,satellite_galaxy,dark_matter
road_tunnel:underground_passage,traffic_congestion,ventilation_system,emergency_exits,toll_collection,maintenance_schedule,lighting_system,pumping_station,safety_regulations,tunnel_boring_machine
rower:sculling,sweep_rowing,coxswain,ergometer,regatta,lightweight_rowing,crew_team,rowing_shell,oar,catch_phase
organisation_member:employee,staff,team_member,union_member,trade_unionist,committee_member,board_member,union_representative,labor_organizer,shop_steward
sports_team_member:athlete,teammate,coach,training,player_contract,starting_lineup,victory,championship,team_captain,team_strategy
mixed_martial_arts_event:ufc,bellator,one_championship,mma,cage_fighting,octagon,submission,knockout,fight_card,championship_belt
photographer:camera,portrait,landscape,photojournalism,darkroom,digital_photography,photo_editing,shutter_speed,aperture,composition
canadian_football_team:cfl,grey_cup,canadian_football_league,canadian_football_hall_of_fame,gridiron_football,canadian_quarterback,canadian_rules_football,touchdown,field_goal,rouge
darts_player:dartboard,throwing_technique,professional_player,world_darts_federation,dart_flights,scoring_system,bullseye,pdc_world_championship,darts_tournament,ninedart_finish
cricket_team:pitch,wicket,innings,captain,batsman,bowler,fielder,match,series,test_cricket
musical_artist:musician,singer,songwriter,composer,band_member,guitarist,pianist,drummer,vocalist,music_producer
classical_music_artist:classical_music,composer,conductor,symphony,opera,concerto,piano,violin,orchestra,chamber_music
cave:spelunking,stalactite,stalagmite,bat_guano,cavern,underground,caving,speleology,sinkhole,karst_landscape
cricket_ground:pitch,innings,boundary,crease,wicket,grass,scoreboard,pavilion,outfield,sight_screen
australian_football_team:afl,aussie_rules,australian_football_league,aussie_rules_football,australian_rules_football,footy,australian_football_players,australian_football_coach,afl_premiership,australian_football_history
poker_player:bluffing,wsop,poker_face,big_blind,small_blind,chip_stack,allin,royal_flush,bad_beat,casino_tournament
poet:verse,stanza,rhyme,meter,imagery,metaphor,sonnet,haiku,lyric,ode
curler:sweeping,stones,house,delivery,bonspiel,strategy,pebbling,hog_line_violation,shooter,curling_broom
astronaut:space_exploration,nasa,cosmonaut,astronaut_training,space_shuttle,international_space_station,space_suit,zero_gravity,spacewalk,astronaut_corps
baseball_league:world_series,major_league_baseball,national_league,american_league,minor_league_baseball,baseball_playoffs,batting_average,earned_run_average_era,home_run_derby,baseball_commissioner
pope:catholicism,papal_conclave,apostolic_succession,vatican,pontifical,holy_see,infallibility,papal_tiara,papal_bull,papal_states
volleyball_player:libero,setter,outside_hitter,middle_blocker,opposite_hitter,beach_volleyball,professional_volleyball_player,national_team_player,volleyball_tournament,volleyball_coach
beach_volleyball_player:sandy_court,sun_protection,beach_tournament,spike,dig,serve,sand_socks,avp_tour,fivb_tour,beach_volleyball_techniques
comic_strip:sequential_art,speech_bubbles,daily_strips,sunday_strips,newspaper_comics,cartoonist,panel,humor,storytelling,characters
netball_player:goal_shooter,goal_attack,wing_attack,centre,wing_defence,goal_defence,goal_keeper,fast_footwork,passing_accuracy,team_coordination
ice_hockey_league:nhl,khl,ahl,iihf,stanley_cup,winter_olympics,hockey_hall_of_fame,allstar_game,draft_lottery,goalie_interference
canal:lock_system,navigation,barge,manmade,irrigation,transportation,waterway,artificial,shipping,aqueduct
lacrosse_player:stick_handling,faceoff,goalie,attackman,midfielder,defenseman,clearing,checking,scooping,crease
